mc,mrp,week_start,sales
113010014,499,05-01-2015,161
113010014,499,12-01-2015,198
113010014,499,19-01-2015,135
113010014,499,26-01-2015,203
113010014,499,02-02-2015,210
113010014,499,09-02-2015,333
113010014,499,16-02-2015,487
113010014,499,23-02-2015,626
113010014,499,02-03-2015,706
113010014,499,09-03-2015,1025
113010014,499,16-03-2015,827
113010014,499,23-03-2015,889
113010014,499,30-03-2015,1079
113010014,499,06-04-2015,1202
113010014,499,13-04-2015,1192
113010014,499,20-04-2015,1044
113010014,499,27-04-2015,716
113010014,499,04-05-2015,1419
113010014,499,11-05-2015,2246
113010014,499,18-05-2015,2142
113010014,499,25-05-2015,2137
113010014,499,01-06-2015,2235
113010014,499,15-06-2015,2287
113010014,499,22-06-2015,2335
113010014,499,29-06-2015,2362
113010014,499,06-07-2015,2404
113010014,499,13-07-2015,2624
113010014,499,20-07-2015,3079
113010014,499,27-07-2015,2296
113010014,499,03-08-2015,2118
113010014,499,10-08-2015,1995
113010014,499,17-08-2015,2502
113010014,499,24-08-2015,1296
113010014,499,31-08-2015,1386
113010014,499,07-09-2015,1057
113010014,499,14-09-2015,987
113010014,499,21-09-2015,960
113010014,499,28-09-2015,920
113010014,499,05-10-2015,1118
113010014,499,12-10-2015,1005
113010014,499,19-10-2015,1268
113010014,499,26-10-2015,937
113010014,499,02-11-2015,291
113010014,499,09-11-2015,309
113010014,499,16-11-2015,270
113010014,499,23-11-2015,140
113010014,499,30-11-2015,103
113010014,499,07-12-2015,155
113010014,499,14-12-2015,147
113010014,499,21-12-2015,130
113010014,499,28-12-2015,137
113010014,499,04-01-2016,94
113010014,499,11-01-2016,279
113010014,499,18-01-2016,202
113010014,499,25-01-2016,314
113010014,499,01-02-2016,301
113010014,499,08-02-2016,275
113010014,499,15-02-2016,283
113010014,499,22-02-2016,197
113010014,499,29-02-2016,335
113010014,499,07-03-2016,324
113010014,499,14-03-2016,316
113010014,499,21-03-2016,354
113010014,499,28-03-2016,354
113010014,499,04-04-2016,706
113010014,499,11-04-2016,540
113010014,499,18-04-2016,350
113010014,499,25-04-2016,324
113010014,499,02-05-2016,342
113010014,499,09-05-2016,327
113010014,499,16-05-2016,425
113010014,499,23-05-2016,482
113010014,499,30-05-2016,363
113010014,499,06-06-2016,297
113010014,499,13-06-2016,331
113010014,499,20-06-2016,282
113010014,499,27-06-2016,387
113010014,499,04-07-2016,1182
113010014,499,11-07-2016,1062
113010014,499,18-07-2016,961
113010014,499,25-07-2016,1012
113010014,499,01-08-2016,868
113010014,499,08-08-2016,1093
113010014,499,15-08-2016,1307
113010014,499,22-08-2016,766
113010014,499,29-08-2016,881
113010014,499,05-09-2016,1000
113010014,499,12-09-2016,812
113010014,499,19-09-2016,483
113010014,499,26-09-2016,592
113010014,499,03-10-2016,637
113010014,499,10-10-2016,435
113010014,499,17-10-2016,240
113010014,499,24-10-2016,332
113010014,499,31-10-2016,154
113010014,499,07-11-2016,68
113010014,499,14-11-2016,123
113010014,499,21-11-2016,81
113010014,499,28-11-2016,72
113010014,499,05-12-2016,71
113010014,499,12-12-2016,117
113010014,499,19-12-2016,99
113010014,499,26-12-2016,98
113010014,499,02-01-2017,52
113010014,499,09-01-2017,59
113010014,499,16-01-2017,74
113010014,499,23-01-2017,181
113010014,499,30-01-2017,105
113010014,499,06-02-2017,59
113010014,499,13-02-2017,88
113010014,499,20-02-2017,57
113010014,499,27-02-2017,97
113010014,499,06-03-2017,120
113010014,499,13-03-2017,211
113010014,499,20-03-2017,129
113010014,499,03-04-2017,173
113010014,499,10-04-2017,218
113010014,499,17-04-2017,197
113010014,499,24-04-2017,173
113010014,499,01-05-2017,184
113010014,499,08-05-2017,223
113010014,499,15-05-2017,635
113010014,499,29-05-2017,1473
113010014,499,05-06-2017,1181
113010014,499,12-06-2017,1095
113010014,499,19-06-2017,1498
113010014,499,26-06-2017,1840
113010014,499,03-07-2017,1903
113010014,499,10-07-2017,1612
113010014,499,17-07-2017,1829
113010014,499,24-07-2017,1713
113010014,499,31-07-2017,2023
113010014,499,07-08-2017,1266
113010014,499,14-08-2017,1227
113010014,499,21-08-2017,1363
113010014,499,28-08-2017,1456
113010014,499,04-09-2017,1280
113010014,499,18-09-2017,1707
113010014,499,25-09-2017,1592
113010014,499,02-10-2017,571
113010014,499,09-10-2017,590
113010014,499,16-10-2017,580
113010014,499,23-10-2017,174
113010014,499,30-10-2017,157
113010014,499,06-11-2017,162
113010014,499,13-11-2017,103
113010014,499,20-11-2017,85
113010014,499,27-11-2017,66
113010014,499,04-12-2017,82
113010014,499,11-12-2017,83
113010014,499,18-12-2017,64
113010014,499,25-12-2017,77
113010014,499,01-01-2018,110
113010014,499,15-01-2018,93
113010014,499,22-01-2018,88
113010014,499,29-01-2018,83
113010014,499,05-02-2018,57
113010014,499,12-02-2018,93
113010014,499,19-02-2018,126
113010014,499,05-03-2018,127
113010014,499,12-03-2018,89
113010014,499,19-03-2018,156
113010014,499,26-03-2018,193
113010014,499,02-04-2018,159
113010014,499,09-04-2018,150
113010014,499,16-04-2018,270
113010014,499,23-04-2018,439
113010014,499,30-04-2018,363
113010014,499,14-05-2018,268
113010014,499,21-05-2018,258
113010014,499,28-05-2018,310
113010014,499,04-06-2018,757
113010014,499,11-06-2018,1199
113010014,499,18-06-2018,1217
113010014,499,25-06-2018,1179
